
K Rabada,4,0,28,1,7.00,9,4,0,0,0
TU Deshpande,4,0,37,2,9.25,5,4,0,3,1
A Nortje,4,0,33,2,8.25,10,3,2,0,0
R Ashwin,4,0,17,1,4.25,10,1,0,0,0
AR Patel,4,0,32,1,8.00,8,2,2,0,0

Sandeep Sharma,4,0,19,2,4.75,13,2,0,0,0
KK Ahmed,4,0,45,2,11.25,10,4,3,1,0
S Nadeem,4,0,29,0,7.25,7,2,1,0,0
T Natarajan,4,0,41,2,10.25,7,4,2,1,0
Rashid Khan,4,0,30,0,7.50,10,0,3,0,0

DL Chahar,4,0,28,0,7.00,8,2,0,2,0
SM Curran,3,0,18,1,6.00,11,3,0,0,0
RA Jadeja,3,0,21,1,7.00,5,2,0,0,0
SN Thakur,2,0,10,1,5.00,4,0,0,1,0
KV Sharma,4,0,37,2,9.25,5,3,1,3,0
DJ Bravo,3,0,25,2,8.33,8,3,1,0,0
PP Chawla,1,0,8,0,8.00,0,0,0,0,0

PJ Cummins,4,0,38,0,9.50,11,4,2,1,0
M Prasidh Krishna,4,0,42,1,10.50,5,5,1,0,0
AD Russell,4,0,51,1,12.75,7,3,3,3,1
CV Varun,4,0,25,0,6.25,8,1,0,0,0
KL Nagarkoti,4,0,36,0,9.00,4,1,2,0,0

CH Morris,4,0,17,2,4.25,10,1,0,0,0
NA Saini,3,0,17,1,5.66,8,1,0,3,0
Mohammed Siraj,3,0,24,1,8.00,9,3,1,0,0
Washington Sundar,4,0,20,2,5.00,8,1,0,0,0
YS Chahal,4,0,12,1,3.00,13,0,0,0,0
I Udana,2,0,19,1,9.50,4,2,1,0,0

TA Boult,4,0,36,1,9.00,9,6,0,2,0
JL Pattinson,3,0,37,0,12.33,6,7,0,3,0
JJ Bumrah,4,0,26,0,6.50,7,1,0,0,0
KH Pandya,4,0,26,2,6.50,8,1,1,0,0
KA Pollard,1,0,10,0,10.00,0,1,0,0,0
RD Chahar,4,0,27,0,6.75,3,1,0,0,0

K Rabada,4,0,28,2,7.00,13,1,2,3,0
A Nortje,4,0,28,0,7.00,11,1,2,1,0
AR Patel,3,0,24,1,8.00,6,3,0,0,0
R Ashwin,4,0,35,1,8.75,4,3,1,0,0
HV Patel,2,0,20,0,10.00,1,3,0,0,0
MP Stoinis,2.4,0,31,1,11.62,2,4,1,0,0

JC Archer,4,0,25,1,6.25,14,0,2,0,1
S Gopal,4,0,31,0,7.75,8,1,2,0,0
Kartik Tyagi,3,0,29,1,9.66,5,1,2,0,0
JD Unadkat,4,0,31,1,7.75,5,1,1,1,0
R Tewatia,4,0,35,0,8.75,8,2,2,1,0
BA Stokes,1,0,7,0,7.00,2,1,0,0,0

Sandeep Sharma,4,0,32,0,8.00,7,3,1,0,0
KK Ahmed,3.5,0,37,2,9.65,9,1,3,0,0
T Natarajan,4,1,32,0,8.00,8,2,2,0,0
Abhishek Sharma,1,0,11,0,11.00,1,2,0,0,0
Rashid Khan,4,0,25,2,6.25,10,3,0,0,0
V Shankar,3,0,22,0,7.33,3,1,0,2,0

DL Chahar,3,0,10,1,3.33,10,0,0,1,0
SM Curran,4,0,48,1,12.00,6,1,4,5,0
SN Thakur,4,0,40,2,10.00,9,4,1,1,1
DJ Bravo,3,0,29,0,9.66,2,2,0,2,0
KV Sharma,4,0,34,0,8.50,5,1,2,1,0
RA Jadeja,2,0,7,0,3.50,6,0,0,0,0

CH Morris,4,0,19,3,4.75,14,2,0,0,0
NA Saini,4,0,18,0,4.50,16,2,0,3,0
I Udana,4,0,30,1,7.50,5,2,0,0,0
Washington Sundar,3,0,16,2,5.33,7,1,0,0,0
YS Chahal,4,0,35,1,8.75,6,3,1,1,0
S Dube,1,0,14,0,14.00,0,2,0,1,0

Mohammed Shami,4,0,30,1,7.50,11,5,0,0,0
Arshdeep Singh,4,1,25,1,6.25,15,4,0,2,0
CJ Jordan,4,0,37,0,9.25,8,4,1,1,0
Mujeeb Ur Rahman,4,0,44,0,11.00,6,3,2,1,0
Ravi Bishnoi,4,0,25,1,6.25,7,1,0,0,0

PJ Cummins,4,0,29,0,7.25,6,3,0,0,0
M Prasidh Krishna,4,0,29,3,7.25,12,3,1,0,0
KL Nagarkoti,3,0,40,0,13.33,2,5,1,0,0
CV Varun,4,0,27,0,6.75,5,2,0,0,0
SP Narine,4,0,28,2,7.00,9,3,0,0,0
N Rana,1,0,7,0,7.00,0,0,0,0,0

VR Aaron,2,0,25,0,12.50,4,3,1,0,1
JC Archer,4,0,24,3,6.00,11,3,0,1,0
Kartik Tyagi,4,0,35,1,8.75,10,1,3,1,0
AJ Tye,4,0,50,1,12.50,5,4,3,2,1
S Gopal,2,0,23,0,11.50,4,0,3,0,0
R Tewatia,4,0,20,1,5.00,11,0,1,1,0

K Rabada,3.4,0,35,3,9.54,7,4,1,2,1
A Nortje,4,0,25,1,6.25,13,2,1,2,0
R Ashwin,4,0,22,2,5.50,9,2,0,1,0
HV Patel,4,0,29,1,7.25,8,0,2,1,0
AR Patel,2,0,8,1,4.00,6,0,0,0,0
MP Stoinis,2,0,17,2,8.50,6,0,2,1,0

SS Cottrell,3,0,33,0,11.00,7,5,0,2,0
Mujeeb Ur Rahman,4,0,39,0,9.75,6,1,3,0,0
Mohammed Shami,4,0,40,1,10.00,8,5,1,0,0
GJ Maxwell,2,0,26,0,13.00,2,1,2,0,0
Ravi Bishnoi,3,0,29,3,9.66,7,2,2,0,0
Arshdeep Singh,4,0,33,2,8.25,9,1,1,2,1

Sandeep Sharma,4,0,27,0,6.75,9,2,0,1,0
KK Ahmed,3,0,24,2,8.00,8,4,0,0,0
